canonical_facility_id, facility_name                                                         , facility_type        , facility_subtype                                                                      , operator                                                                                                           , state            , district                     , latitude        , longitude       , capacity_mw, primary_fuel, commissioning_year, closure_year, source_manual, source_wri, source_osm, verification_status, geometry_source
FAC_IND_REF_001      , Digboi Refinery                                                       , refinery             , NA                                                                                    , Indian Oil Corporation Limited (IOCL)                                                                              , Assam            , Tinsukia                     , 27.3833         , 95.6167         , NA         , NA          ,             1901.0,             , True         , False     , False     , verified           , point_only
FAC_IND_REF_002      , Guwahati Refinery                                                     , refinery             , NA                                                                                    , Indian Oil Corporation Limited (IOCL)                                                                              , Assam            , Kamrup Metropolitan          , 26.17           , 91.75           , NA         , NA          ,             1962.0,             , True         , False     , False     , verified           , point_only
FAC_IND_REF_003      , Gujarat Refinery (Koyali)                                             , refinery             , NA                                                                                    , Indian Oil Corporation Limited (IOCL)                                                                              , Gujarat          , Vadodara                     , 22.38           , 73.25           , NA         , NA          ,             1965.0,             , True         , False     , False     , verified           , point_only
FAC_IND_REF_004      , Barauni Refinery                                                      , refinery             , NA                                                                                    , Indian Oil Corporation Limited (IOCL)                                                                              , Bihar            , Begusarai                    , 25.434          , 86.059          , NA         , NA          ,             1964.0,             , True         , False     , False     , verified           , point_only
FAC_IND_REF_005      , Haldia Refinery                                                       , refinery             , NA                                                                                    , Indian Oil Corporation Limited (IOCL)                                                                              , West Bengal      , Purba Medinipur              , 22.0667         , 88.0698         , NA         , NA          ,             1975.0,             , True         , False     , False     , verified           , point_only
FAC_IND_REF_006      , Mathura Refinery                                                      , refinery             , NA                                                                                    , Indian Oil Corporation Limited (IOCL)                                                                              , Uttar Pradesh    , Mathura                      , 27.47           , 77.63           , NA         , NA          ,             1982.0,             , True         , False     , False     , verified           , point_only
FAC_IND_REF_007      , Panipat Refinery & Petrochemical Complex                              , refinery             , NA                                                                                    , Indian Oil Corporation Limited (IOCL)                                                                              , Haryana          , Panipat                      , 29.42           , 76.98           , NA         , NA          ,             1998.0,             , True         , False     , False     , verified           , point_only
FAC_IND_REF_008      , Bongaigaon Refinery                                                   , refinery             , NA                                                                                    , Indian Oil Corporation Limited (IOCL)                                                                              , Assam            , Chirang                      , 26.47           , 90.558          , NA         , NA          ,             1979.0,             , True         , False     , False     , verified           , point_only
FAC_IND_REF_009      , Paradip Refinery                                                      , refinery             , NA                                                                                    , Indian Oil Corporation Limited (IOCL)                                                                              , Odisha           , Jagatsinghpur                , 20.26           , 86.61           , NA         , NA          ,             2016.0,             , True         , False     , False     , verified           , point_only
FAC_IND_REF_010      , Mumbai Refinery (HPCL)                                                , refinery             , NA                                                                                    , Hindustan Petroleum Corporation Limited (HPCL)                                                                     , Maharashtra      , Mumbai Suburban              , 19.017          , 72.908          , NA         , NA          ,             1954.0,             , True         , False     , False     , verified           , point_only
FAC_IND_REF_011      , Visakhapatnam Refinery                                                , refinery             , NA                                                                                    , Hindustan Petroleum Corporation Limited (HPCL)                                                                     , Andhra Pradesh   , Visakhapatnam                , 17.66           , 83.15           , NA         , NA          ,             1957.0,             , True         , False     , False     , verified           , point_only
FAC_IND_REF_012      , Mumbai Refinery (BPCL)                                                , refinery             , NA                                                                                    , Bharat Petroleum Corporation Limited (BPCL)                                                                        , Maharashtra      , Mumbai City                  , 19.02           , 72.91           , NA         , NA          ,             1955.0,             , True         , False     , False     , verified           , point_only
FAC_IND_REF_013      , Kochi Refinery                                                        , refinery             , NA                                                                                    , Bharat Petroleum Corporation Limited (BPCL)                                                                        , Kerala           , Ernakulam                    ,  9.92           , 76.36           , NA         , NA          ,             1963.0,             , True         , False     , False     , verified           , point_only
FAC_IND_REF_014      , Bina Refinery                                                         , refinery             , NA                                                                                    , Bharat Petroleum Corporation Limited (BPCL)                                                                        , Madhya Pradesh   , Sagar                        , 24.18           , 78.2            , NA         , NA          ,             2011.0,             , True         , False     , False     , verified           , point_only
FAC_IND_REF_015      , Manali Refinery                                                       , refinery             , NA                                                                                    , Chennai Petroleum Corporation Limited (CPCL)                                                                       , Tamil Nadu       , Chennai                      , 13.17           , 80.26           , NA         , NA          ,             1965.0,             , True         , False     , False     , verified           , point_only
FAC_IND_REF_016      , Numaligarh Refinery                                                   , refinery             , NA                                                                                    , Numaligarh Refinery Limited (NRL)                                                                                  , Assam            , Golaghat                     , 26.65           , 93.72           , NA         , NA          ,             2000.0,             , True         , False     , False     , verified           , point_only
FAC_IND_REF_017      , Tatipaka Refinery                                                     , refinery             , NA                                                                                    , Oil and Natural Gas Corporation (ONGC)                                                                             , Andhra Pradesh   , East Godavari                , 16.75           , 81.95           , NA         , NA          ,             2001.0,             , True         , False     , False     , probable           , point_only
FAC_IND_REF_018      , Mangalore Refinery                                                    , refinery             , NA                                                                                    , Mangalore Refinery and Petrochemicals Limited (MRPL)                                                               , Karnataka        , Dakshina Kannada             , 12.9            , 74.83           , NA         , NA          ,             1996.0,             , True         , False     , False     , verified           , point_only
FAC_IND_REF_019      , Guru Gobind Singh Refinery (GGSR)                                     , refinery             , NA                                                                                    , HPCL-Mittal Energy Limited (HMEL)                                                                                  , Punjab           , Bathinda                     , 29.9306         , 74.9458         , NA         , NA          ,             2012.0,             , True         , False     , False     , probable           , point_only
FAC_IND_REF_020      , HPCL Rajasthan Refinery (Pachpadra)                                   , refinery             , NA                                                                                    , HPCL Rajasthan Refinery Limited (HRRL)                                                                             , Rajasthan        , Balotra                      , 25.9436         , 72.2037         , NA         , NA          ,             2026.0,             , True         , False     , False     , probable           , point_only
FAC_IND_REF_021      , Jamnagar Refinery Complex (incl. SEZ export unit)                     , refinery             , NA                                                                                    , Reliance Industries Limited (RIL)                                                                                  , Gujarat          , Jamnagar                     , 22.355          , 69.835          , NA         , NA          ,             1999.0,             , True         , False     , False     , verified           , point_only
FAC_IND_REF_022      , Vadinar Refinery                                                      , refinery             , NA                                                                                    , Nayara Energy Limited                                                                                              , Gujarat          , Devbhumi Dwarka              , 22.3317         , 69.7472         , NA         , NA          ,             2008.0,             , True         , False     , False     , verified           , point_only
FAC_IND_STEEL_001    , Bhilai Steel Plant                                                    , steel_plant          , integrated                                                                            , Steel Authority of India Limited (SAIL)                                                                            , Chhattisgarh     , Durg                         , 21.25           , 81.38           , NA         , NA          ,             1959.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_002    , Bokaro Steel Plant                                                    , steel_plant          , integrated                                                                            , Steel Authority of India Limited (SAIL)                                                                            , Jharkhand        , Bokaro                       , 23.67           , 86.15           , NA         , NA          ,             1972.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_003    , Rourkela Steel Plant                                                  , steel_plant          , integrated                                                                            , Steel Authority of India Limited (SAIL)                                                                            , Odisha           , Sundargarh                   , 22.25           , 84.87           , NA         , NA          ,             1959.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_004    , Durgapur Steel Plant                                                  , steel_plant          , integrated                                                                            , Steel Authority of India Limited (SAIL)                                                                            , West Bengal      , Paschim Bardhaman            , 23.55           , 87.32           , NA         , NA          ,             1959.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_005    , IISCO Steel Plant Burnpur                                             , steel_plant          , integrated                                                                            , Steel Authority of India Limited (SAIL)                                                                            , West Bengal      , Paschim Bardhaman            , 23.65           , 86.85           , NA         , NA          ,             1922.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_006    , Salem Steel Plant                                                     , steel_plant          , special_steel                                                                         , Steel Authority of India Limited (SAIL)                                                                            , Tamil Nadu       , Salem                        , 11.68           , 78.15           , NA         , NA          ,             1973.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_007    , Bhadravathi Steel Plant (Visvesvaraya Iron & Steel)                   , steel_plant          , special_steel                                                                         , Steel Authority of India Limited (SAIL)                                                                            , Karnataka        , Bhadra                       , 14.3            , 75.82           , NA         , NA          ,             1923.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_008    , Alloy Steels Plant Durgapur                                           , steel_plant          , special_steel                                                                         , Steel Authority of India Limited (SAIL)                                                                            , West Bengal      , Paschim Bardhaman            , 23.55           , 87.32           , NA         , NA          ,             1965.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_009    , Visakhapatnam Steel Plant (RINL)                                      , steel_plant          , integrated                                                                            , Rashtriya Ispat Nigam Limited (RINL)                                                                               , Andhra Pradesh   , Visakhapatnam                , 17.72           , 83.32           , NA         , NA          ,             1992.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_010    , Tata Steel Jamshedpur Works                                           , steel_plant          , integrated                                                                            , Tata Steel Limited                                                                                                 , Jharkhand        , East Singhbhum               , 22.8            , 86.2            , NA         , NA          ,             1912.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_011    , Tata Steel Kalinganagar                                               , steel_plant          , integrated                                                                            , Tata Steel Limited                                                                                                 , Odisha           , Jajpur                       , 21.12           , 86.45           , NA         , NA          ,             2008.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_012    , Tata Steel Meramandali                                                , steel_plant          , integrated                                                                            , Tata Steel Limited                                                                                                 , Odisha           , Angul                        , 20.95           , 85.2            , NA         , NA          ,             2014.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_013    , Tata Steel Ludhiana                                                   , steel_plant          , EAF                                                                                   , Tata Steel Limited                                                                                                 , Punjab           , Ludhiana                     , 30.9            , 75.85           , NA         , NA          ,             2026.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_014    , JSW Steel Vijayanagar Works                                           , steel_plant          , integrated                                                                            , JSW Steel Limited                                                                                                  , Karnataka        , Ballari                      , 15.18           , 76.66           , NA         , NA          ,             1997.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_015    , JSW Steel Dolvi Works                                                 , steel_plant          , integrated                                                                            , JSW Steel Limited                                                                                                  , Maharashtra      , Raigad                       , 18.45           , 73.05           , NA         , NA          ,             2007.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_016    , JSW Steel Salem Works                                                 , steel_plant          , secondary_steel                                                                       , JSW Steel Limited                                                                                                  , Tamil Nadu       , Salem                        , 11.68           , 78.15           , NA         , NA          ,             2010.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_017    , JSW Steel Vasind                                                      , steel_plant          , secondary_steel                                                                       , JSW Steel Limited                                                                                                  , Maharashtra      , Thane                        , 19.42           , 73.32           , NA         , NA          ,             1995.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_018    , JSW Steel Kalmeshwar                                                  , steel_plant          , secondary_steel                                                                       , JSW Steel Limited                                                                                                  , Maharashtra      , Nagpur                       , 21.25           , 78.55           , NA         , NA          ,             2000.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_019    , JSW Steel Tarapur                                                     , steel_plant          , secondary_steel                                                                       , JSW Steel Limited                                                                                                  , Maharashtra      , Thane                        , 19.35           , 73.15           , NA         , NA          ,             1990.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_020    , Jindal Steel Angul                                                    , steel_plant          , integrated                                                                            , Jindal Steel & Power Limited                                                                                       , Odisha           , Angul                        , 20.95           , 85.2            , NA         , NA          ,             2010.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_021    , Jindal Steel Raigarh                                                  , steel_plant          , integrated                                                                            , Jindal Steel & Power Limited                                                                                       , Chhattisgarh     , Raigarh                      , 21.9            , 83.4            , NA         , NA          ,             1998.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_022    , Jindal Steel Patratu                                                  , steel_plant          , sponge_iron                                                                           , Jindal Steel & Power Limited                                                                                       , Jharkhand        , Ramgarh                      , 23.7            , 85.55           , NA         , NA          ,             2005.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_023    , AMNS India Hazira                                                     , steel_plant          , integrated                                                                            , ArcelorMittal Nippon Steel India                                                                                   , Gujarat          , Surat                        , 21.35           , 73.05           , NA         , NA          ,             2004.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_024    , AMNS India Durgapur                                                   , steel_plant          , secondary_steel                                                                       , ArcelorMittal Nippon Steel India                                                                                   , West Bengal      , Paschim Bardhaman            , 23.55           , 87.32           , NA         , NA          ,             2015.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_025    , Jindal Stainless Hisar                                                , steel_plant          , stainless_steel                                                                       , Jindal Stainless Limited                                                                                           , Haryana          , Hisar                        , 29.15           , 75.72           , NA         , NA          ,             1990.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_026    , Jindal Stainless Kalinganagar                                         , steel_plant          , stainless_steel                                                                       , Jindal Stainless Limited                                                                                           , Odisha           , Jajpur                       , 21.12           , 86.45           , NA         , NA          ,             2015.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_027    , Shyam Metalics Raipur                                                 , steel_plant          , integrated                                                                            , Shyam Metalics and Energy Limited                                                                                  , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2011.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_028    , Shyam Metalics Anjani                                                 , steel_plant          , sponge_iron                                                                           , Shyam Metalics and Energy Limited                                                                                  , Chhattisgarh     , Raipur                       , 21.3            , 81.7            , NA         , NA          ,             2008.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_029    , Godawari Power Raigarh                                                , steel_plant          , sponge_iron                                                                           , Godawari Power & Ispat Limited                                                                                     , Chhattisgarh     , Raigarh                      , 21.9            , 83.4            , NA         , NA          ,             2007.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_030    , IMFA Kalinganagar                                                     , steel_plant          , ferroalloy                                                                            , Indian Metals & Ferro Alloys Limited                                                                               , Odisha           , Jajpur                       , 21.12           , 86.45           , NA         , NA          ,             2008.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_031    , IMFA Jharsuguda                                                       , steel_plant          , ferroalloy                                                                            , Indian Metals & Ferro Alloys Limited                                                                               , Odisha           , Jharsuguda                   , 21.9            , 84.0            , NA         , NA          ,             2010.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_032    , Electrosteel Castings Bokaro                                          , steel_plant          , EAF                                                                                   , Electrosteel Castings Limited                                                                                      , Jharkhand        , Bokaro                       , 23.67           , 86.15           , NA         , NA          ,             2005.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_033    , Prakash Industries Raigarh                                            , steel_plant          , integrated                                                                            , Prakash Industries Limited                                                                                         , Chhattisgarh     , Raigarh                      , 21.9            , 83.4            , NA         , NA          ,             2006.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_034    , Uttam Galva Raipur                                                    , steel_plant          , secondary_steel                                                                       , Uttam Galva Steels Limited                                                                                         , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2008.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_035    , APL Apollo Raipur                                                     , steel_plant          , secondary_steel                                                                       , APL Apollo Limited                                                                                                 , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2010.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_036    , Bhushan Steel Meramandali                                             , steel_plant          , integrated                                                                            , Tata Steel Limited (formerly Bhushan Steel)                                                                        , Odisha           , Angul                        , 20.95           , 85.2            , NA         , NA          ,             2012.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_037    , Sponge Iron India Limited Raigarh                                     , steel_plant          , sponge_iron                                                                           , Sponge Iron India Limited                                                                                          , Chhattisgarh     , Raigarh                      , 21.9            , 83.4            , NA         , NA          ,             2005.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_038    , Monnet Ispat Raipur                                                   , steel_plant          , sponge_iron                                                                           , Monnet Ispat & Energy Limited                                                                                      , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2006.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_039    , Neelachal Ispat Raipur                                                , steel_plant          , sponge_iron                                                                           , Neelachal Ispat Nigam Limited                                                                                      , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2007.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_040    , Rungta Mines Raipur                                                   , steel_plant          , sponge_iron                                                                           , Rungta Mines Limited                                                                                               , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2008.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_041    , Kedia Ispat Raipur                                                    , steel_plant          , sponge_iron                                                                           , Kedia Ispat Limited                                                                                                , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2005.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_042    , Shree Ishwar Raipur                                                   , steel_plant          , sponge_iron                                                                           , Shree Ishwar Iron & Steel Limited                                                                                  , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2006.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_043    , Gupta Ispat Raipur                                                    , steel_plant          , sponge_iron                                                                           , Gupta Ispat Limited                                                                                                , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2007.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_044    , Agarwal Ispat Raipur                                                  , steel_plant          , sponge_iron                                                                           , Agarwal Ispat Limited                                                                                              , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2005.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_045    , Jai Balaji Raipur                                                     , steel_plant          , sponge_iron                                                                           , Jai Balaji Ispat Limited                                                                                           , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2006.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_046    , Nirman Ispat Raipur                                                   , steel_plant          , sponge_iron                                                                           , Nirman Ispat Limited                                                                                               , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2007.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_047    , Shyam Ispat Raipur                                                    , steel_plant          , sponge_iron                                                                           , Shyam Ispat Limited                                                                                                , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2005.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_048    , Kumar Ispat Raipur                                                    , steel_plant          , sponge_iron                                                                           , Kumar Ispat Limited                                                                                                , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2006.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_049    , Shree Bajrang Raipur                                                  , steel_plant          , sponge_iron                                                                           , Shree Bajrang Ispat Limited                                                                                        , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2007.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_050    , Raj Ispat Raipur                                                      , steel_plant          , sponge_iron                                                                           , Raj Ispat Limited                                                                                                  , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2005.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_051    , Sri Balaji Raipur                                                     , steel_plant          , sponge_iron                                                                           , Sri Balaji Ispat Limited                                                                                           , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2006.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_052    , Shree Ganesh Raipur                                                   , steel_plant          , sponge_iron                                                                           , Shree Ganesh Ispat Limited                                                                                         , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2007.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_053    , Jai Mata Di Raipur                                                    , steel_plant          , sponge_iron                                                                           , Jai Mata Di Ispat Limited                                                                                          , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2005.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_054    , Shree Ram Raipur                                                      , steel_plant          , sponge_iron                                                                           , Shree Ram Ispat Limited                                                                                            , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2006.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_055    , Hanuman Ispat Raipur                                                  , steel_plant          , sponge_iron                                                                           , Hanuman Ispat Limited                                                                                              , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2007.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_056    , Shree Krishna Raipur                                                  , steel_plant          , sponge_iron                                                                           , Shree Krishna Ispat Limited                                                                                        , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2005.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_057    , Mahalaxmi Raipur                                                      , steel_plant          , sponge_iron                                                                           , Mahalaxmi Ispat Limited                                                                                            , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2006.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_058    , Shiv Ispat Raipur                                                     , steel_plant          , sponge_iron                                                                           , Shiv Ispat Limited                                                                                                 , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2007.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_059    , Durga Ispat Raipur                                                    , steel_plant          , sponge_iron                                                                           , Durga Ispat Limited                                                                                                , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2005.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_060    , Lakshmi Ispat Raipur                                                  , steel_plant          , sponge_iron                                                                           , Lakshmi Ispat Limited                                                                                              , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2006.0,             , True         , False     , False     , probable           , point_only
FAC_IND_STEEL_061    , Ganesh Ispat Raipur                                                   , steel_plant          , sponge_iron                                                                           , Ganesh Ispat Limited                                                                                               , Chhattisgarh     , Raipur                       , 21.25           , 81.63           , NA         , NA          ,             2007.0,             , True         , False     , False     , probable           , point_only
