canonical_facility_id,facility_name,facility_type,facility_subtype,operator,state,district,latitude,longitude,capacity_mw,primary_fuel,commissioning_year,closure_year,source_manual,source_wri,source_osm,verification_status,geometry_source,nearest_facility_id,fire_count_30d,avg_frp_mw,max_brightness_k,avg_dist_km,high_confidence_pct,source_agreement_score,risk_score,risk_level
FAC_VIJAYANAGAR_JSW  ,JSW Vijayanagar Power Station                                         ,thermal_power_plant  ,coal                                                                                  ,JSW Energy Limited                                                                                                 ,Karnataka        ,Ballari                      ,15.18,76.66,860.0      ,coal        ,2000.0,,True         ,True      ,True,probable           ,mapped_polygon,FAC_VIJAYANAGAR_JSW  ,1419.0,2.42,350.4,1.29,94.22128259337562,100,71.0,High
FAC_WRI_0072         ,DANAPUR BMM                                                           ,thermal_power_plant  ,coal                                                                                  ,Bmm Pvt ltd                                                                                                        ,Karnataka        ,Hosapete taluk               ,15.1707,76.377,25.0       ,Coal        ,,,False        ,True      ,True,probable           ,mapped_polygon,FAC_WRI_0072         ,320.0,2.05,351.0,1.586,94.0625,60,66.5,High
FAC_WRI_0037         ,BELLARY JANKI                                                         ,thermal_power_plant  ,coal                                                                                  ,Janki Corp ltd                                                                                                     ,Karnataka        ,Bellary taluk                ,15.1777,77.1036,18.0       ,Coal        ,,,False        ,True      ,False,probable           ,external_database_point,FAC_WRI_0037         ,271.0,2.08,356.9,1.314,91.88191881918819,40,65.5,High
FAC_WRI_0259         ,RAJASHREE CEMENT                                                      ,thermal_power_plant  ,coal                                                                                  ,Grasim Cement ltd                                                                                                  ,Karnataka        ,Sedam taluku                 ,17.1427,77.1749,38.5       ,Coal        ,,,False        ,True      ,False,probable           ,external_database_point,FAC_WRI_0259         ,101.0,2.02,357.2,2.348,92.07920792079209,40,63.7,High
FAC_WRI_0360         ,WADI CEMENT PLANT                                                     ,thermal_power_plant  ,coal                                                                                  ,Acc Acc ltd                                                                                                        ,Karnataka        ,Chitapura taluku             ,17.0552,76.9775,75.0       ,Coal        ,,,False        ,True      ,True,probable           ,mapped_polygon,FAC_WRI_0360         ,89.0,4.3,367.0,4.011,84.26966292134831,60,63.5,High
FAC_TPP_071          ,Bellary Thermal Power Station                                         ,thermal_power_plant  ,coal                                                                                  ,Karnataka Power Corporation                                                                                        ,Karnataka        ,Ballari                      ,15.19,76.72,1700.0     ,coal        ,2007.0,,True         ,True      ,False,probable           ,point_only,FAC_TPP_071          ,179.0,1.88,355.7,4.689,94.41340782122904,80,63.5,High
FAC_WRI_0334         ,TUTICORIN                                                             ,thermal_power_plant  ,coal                                                                                  ,NA                                                                                                                 ,Tamil Nadu       ,Thoothukkudi                 ,8.7635,78.1753,1050.0     ,Coal        ,1984.0,,False        ,True      ,True,probable           ,mapped_polygon,FAC_WRI_0334         ,36.0,3.56,356.2,1.034,97.22222222222221,60,62.2,High
FAC_WRI_0036         ,BELLARY HOTHUR                                                        ,thermal_power_plant  ,coal                                                                                  ,Hothur Pvt ltd                                                                                                     ,Karnataka        ,Kurugodu taluk               ,15.1831,76.7909,10.0       ,Coal        ,,,False        ,True      ,True,probable           ,mapped_polygon,FAC_WRI_0036         ,295.0,1.97,355.0,4.911,94.23728813559322,60,61.0,High
FAC_WRI_0159         ,KOPPAL HKMP                                                           ,thermal_power_plant  ,coal                                                                                  ,Hare Pvt ltd                                                                                                       ,Karnataka        ,Koppala taluku               ,15.316,76.2507,12.0       ,Coal        ,,,False        ,True      ,False,probable           ,external_database_point,FAC_WRI_0159         ,263.0,1.48,346.7,3.392,96.57794676806084,40,60.9,High
FAC_IND_REF_017      ,Tatipaka Refinery                                                     ,refinery             ,NA                                                                                    ,Oil and Natural Gas Corporation (ONGC)                                                                             ,Andhra Pradesh   ,East Godavari                ,16.75,81.95,NA         ,NA          ,2001.0,,True         ,False     ,False,probable           ,point_only,FAC_IND_REF_017      ,117.0,5.95,367.0,6.109,84.61538461538461,40,60.8,High
