canonical_facility_id,facility_name,facility_type,facility_subtype,operator,state,district,latitude,longitude,capacity_mw,primary_fuel,commissioning_year,closure_year,source_manual,source_wri,source_osm,verification_status,geometry_source
FAC_IND_REF_011      ,Visakhapatnam Refinery                                                ,refinery             ,NA                                                                                    ,Hindustan Petroleum Corporation Limited (HPCL)                                                                     ,Andhra Pradesh   ,Visakhapatnam                ,17.66           ,83.15           ,NA         ,NA          ,1957.0,,True         ,False     ,False,verified           ,point_only
FAC_IND_REF_013      ,Kochi Refinery                                                        ,refinery             ,NA                                                                                    ,Bharat Petroleum Corporation Limited (BPCL)                                                                        ,Kerala           ,Ernakulam                    ,9.92           ,76.36           ,NA         ,NA          ,1963.0,,True         ,False     ,False,verified           ,point_only
FAC_IND_REF_015      ,Manali Refinery                                                       ,refinery             ,NA                                                                                    ,Chennai Petroleum Corporation Limited (CPCL)                                                                       ,Tamil Nadu       ,Chennai                      ,13.17           ,80.26           ,NA         ,NA          ,1965.0,,True         ,False     ,False,verified           ,point_only
FAC_IND_REF_017      ,Tatipaka Refinery                                                     ,refinery             ,NA                                                                                    ,Oil and Natural Gas Corporation (ONGC)                                                                             ,Andhra Pradesh   ,East Godavari                ,16.75           ,81.95           ,NA         ,NA          ,2001.0,,True         ,False     ,False,probable           ,point_only
FAC_IND_REF_018      ,Mangalore Refinery                                                    ,refinery             ,NA                                                                                    ,Mangalore Refinery and Petrochemicals Limited (MRPL)                                                               ,Karnataka        ,Dakshina Kannada             ,12.9            ,74.83           ,NA         ,NA          ,1996.0,,True         ,False     ,False,verified           ,point_only
FAC_IND_STEEL_006    ,Salem Steel Plant                                                     ,steel_plant          ,special_steel                                                                         ,Steel Authority of India Limited (SAIL)                                                                            ,Tamil Nadu       ,Salem                        ,11.68           ,78.15           ,NA         ,NA          ,1973.0,,True         ,False     ,False,probable           ,point_only
FAC_IND_STEEL_007    ,Bhadravathi Steel Plant (Visvesvaraya Iron & Steel)                   ,steel_plant          ,special_steel                                                                         ,Steel Authority of India Limited (SAIL)                                                                            ,Karnataka        ,Bhadra                       ,14.3            ,75.82           ,NA         ,NA          ,1923.0,,True         ,False     ,False,probable           ,point_only
FAC_IND_STEEL_009    ,Visakhapatnam Steel Plant (RINL)                                      ,steel_plant          ,integrated                                                                            ,Rashtriya Ispat Nigam Limited (RINL)                                                                               ,Andhra Pradesh   ,Visakhapatnam                ,17.72           ,83.32           ,NA         ,NA          ,1992.0,,True         ,False     ,False,probable           ,point_only
FAC_IND_STEEL_014    ,JSW Steel Vijayanagar Works                                           ,steel_plant          ,integrated                                                                            ,JSW Steel Limited                                                                                                  ,Karnataka        ,Ballari                      ,15.18           ,76.66           ,NA         ,NA          ,1997.0,,True         ,False     ,False,probable           ,point_only
FAC_IND_STEEL_016    ,JSW Steel Salem Works                                                 ,steel_plant          ,secondary_steel                                                                       ,JSW Steel Limited                                                                                                  ,Tamil Nadu       ,Salem                        ,11.68           ,78.15           ,NA         ,NA          ,2010.0,,True         ,False     ,False,probable           ,point_only
FAC_TPP_005          ,Ramagundam Super Thermal Power Station                                ,thermal_power_plant  ,coal                                                                                  ,NTPC Limited                                                                                                       ,Telangana        ,Peddapalli                   ,18.75           ,79.5            ,NA         ,NA          ,1985.0,,True         ,False     ,False,probable           ,point_only
FAC_TPP_015          ,Kayamkulam Thermal Power Station                                      ,thermal_power_plant  ,gas                                                                                   ,NTPC Limited                                                                                                       ,Kerala           ,Alappuzha                    ,9.17           ,76.5            ,NA         ,NA          ,1996.0,,True         ,False     ,False,probable           ,point_only
FAC_TPP_023          ,Telangana Thermal Power Station (Yadadri)                             ,thermal_power_plant  ,coal                                                                                  ,NTPC Limited                                                                                                       ,Telangana        ,Yadadri Bhuvanagiri          ,17.55           ,79.2            ,NA         ,NA          ,2022.0,,True         ,False     ,False,probable           ,point_only
FAC_TPP_026          ,Simhadri Thermal Power Station                                        ,thermal_power_plant  ,coal                                                                                  ,NTPC Limited                                                                                                       ,Andhra Pradesh   ,Nellore                      ,14.45           ,79.98           ,NA         ,NA          ,2023.0,,True         ,False     ,False,probable           ,point_only
FAC_TPP_039          ,Thoothukudi Thermal Power Station                                     ,thermal_power_plant  ,coal                                                                                  ,Tamil Nadu Generation and Distribution Corporation (TANGEDCO)                                                      ,Tamil Nadu       ,Thoothukudi                  ,8.8            ,78.15           ,NA         ,NA          ,1996.0,,True         ,False     ,False,probable           ,point_only
FAC_TPP_040          ,Ennore Thermal Power Station                                          ,thermal_power_plant  ,coal                                                                                  ,Tamil Nadu Generation and Distribution Corporation (TANGEDCO)                                                      ,Tamil Nadu       ,Thiruvallur                  ,13.25           ,80.32           ,NA         ,NA          ,1997.0,,True         ,False     ,False,probable           ,point_only
FAC_TPP_041          ,Basin Bridge Thermal Power Station                                    ,thermal_power_plant  ,gas                                                                                   ,Tamil Nadu Generation and Distribution Corporation (TANGEDCO)                                                      ,Tamil Nadu       ,Chennai                      ,13.1            ,80.28           ,NA         ,NA          ,1971.0,,True         ,False     ,False,probable           ,point_only
FAC_TPP_042          ,Yadadri Thermal Power Station                                         ,thermal_power_plant  ,coal                                                                                  ,Telangana State Power Generation Company (TS Genco)                                                                ,Telangana        ,Yadadri Bhuvanagiri          ,17.55           ,79.2            ,NA         ,NA          ,2022.0,,True         ,False     ,False,probable           ,point_only
FAC_TPP_043          ,Ramagundam Thermal Power Station (TS Genco)                           ,thermal_power_plant  ,coal                                                                                  ,Telangana State Power Generation Company (TS Genco)                                                                ,Telangana        ,Peddapalli                   ,18.75           ,79.5            ,NA         ,NA          ,1985.0,,True         ,False     ,False,probable           ,point_only
FAC_TPP_044          ,Kothagudem Thermal Power Station                                      ,thermal_power_plant  ,coal                                                                                  ,Telangana State Power Generation Company (TS Genco)                                                                ,Telangana        ,Bhadradri Kothagudem         ,17.55           ,80.62           ,NA         ,NA          ,1975.0,,True         ,False     ,False,probable           ,point_only
FAC_TPP_050          ,Neyveli Thermal Power Station-I                                       ,thermal_power_plant  ,lignite                                                                               ,NLC India Limited                                                                                                  ,Tamil Nadu       ,Cuddalore                    ,11.61           ,79.47           ,NA         ,NA          ,1962.0,,True         ,False     ,False,probable           ,point_only
