canonical_facility_id,facility_name,facility_type,facility_subtype,operator,state,district,osm_feature_id,osm_element_type,osm_geometry_type,osm_name,osm_operator,osm_power,osm_industrial,osm_landuse,osm_man_made,osm_plant_source,osm_generator_source,osm_ref,osm_wikidata,osm_website,distance_m,name_score,operator_evidence,type_compatibility,geometry_value,evidence_score,competing_candidates_count,osm_shared_flag,osm_match_status,review_required,review_notes
FAC_TPP_070          ,Raichur Thermal Power Station                                         ,thermal_power_plant  ,coal                                                                                  ,Karnataka Power Corporation                                                                                        ,Karnataka        ,Raichur                      ,828881768,way,Polygon,Raichur Thermal Power Station,Karnataka Power Corporation Limited,plant,,industrial,,coal,,,Q7283704,,357.63,100.0,partial_match,compatible,polygon,106,18,False,confirmed,False,
FAC_TPP_090          ,Rayalaseema Thermal Power Station                                     ,thermal_power_plant  ,coal                                                                                  ,Andhra Pradesh Power Generation Corporation                                                                        ,Andhra Pradesh   ,YSR Kadapa                   ,245128513,way,Polygon,Rayalaseema Thermal Power Station,Andhra Pradesh Power Generation Corporation,plant,,industrial,,coal,,,Q7298370,,538.68,100.0,match,compatible,polygon,106,13,True,confirmed,False,SHARED OSM FEATURE — review carefully
FAC_VIJAYANAGAR_JSW  ,JSW Vijayanagar Power Station                                         ,thermal_power_plant  ,coal                                                                                  ,JSW Energy Limited                                                                                                 ,Karnataka        ,Ballari                      ,822601316,way,Polygon,Vijayanagar Toranagallu Power Station,JSW Energy,plant,,industrial,,coal,,,Q16930658,,799.38,92.6,partial_match,compatible,polygon,86,14,True,confirmed,False,SHARED OSM FEATURE — review carefully
FAC_IND_OIL_005      ,Mangalore Installation (BPCL)                                         ,oil_terminal         ,NA                                                                                    ,BPCL                                                                                                               ,Karnataka        ,Dakshina Kannada             ,322244190,way,Polygon,Bharat Petroleum Mangalore Coastal Installation,,,,industrial,,,,,,,139.23,89.8,no_evidence,incompatible,polygon,78,1,False,confirmed,False,
FAC_IND_OIL_008      ,Irumpanam Installation (BPCL)                                         ,oil_terminal         ,NA                                                                                    ,BPCL                                                                                                               ,Kerala           ,Ernakulam                    ,370027534,way,Polygon,BPCL,,substation,,,,,,,,,205.23,100.0,no_evidence,incompatible,polygon,86,56,True,confirmed,False,SHARED OSM FEATURE — review carefully
FAC_IND_STR_052      ,Hassan Terminal (HPCL)                                                ,storage_terminal     ,NA                                                                                    ,HPCL                                                                                                               ,Karnataka        ,Hassan                       ,292168959,way,Polygon,HPCL POL Terminal,,,,industrial,,,,,,,358.54,86.7,no_evidence,compatible,polygon,80,14,True,confirmed,False,SHARED OSM FEATURE — review carefully
FAC_IND_STR_059      ,Kozhikode Depot (HPCL)                                                ,storage_terminal     ,NA                                                                                    ,HPCL                                                                                                               ,Kerala           ,Kozhikode                    ,800751350,way,Polygon,,,,,industrial,,,,,,,64.64,,no_evidence,compatible,polygon,68,2,False,confirmed,False,
FAC_IND_STR_060      ,Kozhikode Depot (IOCL)                                                ,storage_terminal     ,NA                                                                                    ,IOCL                                                                                                               ,Kerala           ,Kozhikode                    ,698850805,way,Polygon,IOC Feroke Depot,,,,industrial,,,,,,,97.32,55.6,no_evidence,compatible,polygon,76,3,False,confirmed,False,
FAC_IND_STR_092      ,CHENNAI                                                               ,storage_terminal     ,NA                                                                                    ,NA                                                                                                                 ,Tamil Nadu       ,Chennai                      ,1075921842,way,Polygon,,,,,,storage_tank,,,,,,56.25,,no_evidence,compatible,polygon,68,31,False,confirmed,False,
FAC_IND_STR_092      ,CHENNAI                                                               ,storage_terminal     ,NA                                                                                    ,NA                                                                                                                 ,Tamil Nadu       ,Chennai                      ,1075921843,way,Polygon,,,,,,storage_tank,,,,,,25.91,,no_evidence,compatible,polygon,68,31,False,confirmed,False,
FAC_IND_STR_092      ,CHENNAI                                                               ,storage_terminal     ,NA                                                                                    ,NA                                                                                                                 ,Tamil Nadu       ,Chennai                      ,1075921845,way,Polygon,,,,,,storage_tank,,,,,,45.13,,no_evidence,compatible,polygon,68,31,False,confirmed,False,
FAC_IND_STR_092      ,CHENNAI                                                               ,storage_terminal     ,NA                                                                                    ,NA                                                                                                                 ,Tamil Nadu       ,Chennai                      ,1075921848,way,Polygon,,,,,,storage_tank,,,,,,89.59,,no_evidence,compatible,polygon,68,31,False,confirmed,False,
FAC_IND_STR_092      ,CHENNAI                                                               ,storage_terminal     ,NA                                                                                    ,NA                                                                                                                 ,Tamil Nadu       ,Chennai                      ,1075921847,way,Polygon,,,,,,storage_tank,,,,,,83.06,,no_evidence,compatible,polygon,68,31,False,confirmed,False,
FAC_IND_STR_092      ,CHENNAI                                                               ,storage_terminal     ,NA                                                                                    ,NA                                                                                                                 ,Tamil Nadu       ,Chennai                      ,1075921849,way,Polygon,,,,,,storage_tank,,,,,,98.16,,no_evidence,compatible,polygon,68,31,False,confirmed,False,
FAC_IND_STR_101      ,Sankari Depot (IOCL)                                                  ,storage_terminal     ,NA                                                                                    ,IOCL                                                                                                               ,Tamil Nadu       ,Salem                        ,309216707,way,Polygon,இந்தியன் ஆயில் கார்ப்பரேஷன் லிமிடெட் - சங்ககிரி முனையம்,,,,industrial,,,,,,,80.2,,no_evidence,compatible,polygon,68,2,False,confirmed,False,
FAC_IND_STR_105      ,Hyderabad Terminal (IOCL)                                             ,storage_terminal     ,NA                                                                                    ,IOCL                                                                                                               ,Telangana        ,Hyderabad                    ,816762286,way,Polygon,,,,,,storage_tank,,,,,,94.04,,no_evidence,compatible,polygon,68,14,False,confirmed,False,
FAC_IND_STR_105      ,Hyderabad Terminal (IOCL)                                             ,storage_terminal     ,NA                                                                                    ,IOCL                                                                                                               ,Telangana        ,Hyderabad                    ,318619674,way,Polygon,,,,,industrial,,,,,,,7.9,,no_evidence,compatible,polygon,68,14,False,confirmed,False,
FAC_WRI_0032         ,BASIN BRIDGE GT                                                       ,thermal_power_plant  ,gas                                                                                   ,NA                                                                                                                 ,Tamil Nadu       ,Chennai                      ,28342737,way,Polygon,Basin Bridge Gas Turbine Power Station,Tamil Nadu State Electricity Board,plant,,industrial,,oil,,,Q17049596,,473.92,88.9,no_evidence,compatible,polygon,88,20,False,confirmed,False,
FAC_WRI_0034         ,BELGAUM UGAR                                                          ,thermal_power_plant  ,biomass                                                                               ,Ugar Works ltd                                                                                                     ,Karnataka        ,Kagawada taluku              ,1218347786,way,Polygon,,,plant,,industrial,,,,,,,71.38,,no_evidence,compatible,polygon,68,8,False,confirmed,False,
FAC_WRI_0034         ,BELGAUM UGAR                                                          ,thermal_power_plant  ,biomass                                                                               ,Ugar Works ltd                                                                                                     ,Karnataka        ,Kagawada taluku              ,250771509,way,Polygon,Ugar Sugars,KPTCL,substation,,,,,,,,,226.5,60.9,mismatch,incompatible,polygon,66,8,False,confirmed,False,
FAC_WRI_0036         ,BELLARY HOTHUR                                                        ,thermal_power_plant  ,coal                                                                                  ,Hothur Pvt ltd                                                                                                     ,Karnataka        ,Kurugodu taluk               ,350607912,way,Polygon,Hothur Ispat Pvt Ltd,,,,industrial,,,,,,,111.5,60.0,no_evidence,incompatible,polygon,66,2,False,confirmed,False,
FAC_WRI_0053         ,BRAMHAPURAM DG                                                        ,thermal_power_plant  ,oil                                                                                   ,NA                                                                                                                 ,Kerala           ,Kunnathunad                  ,310521022,way,Polygon,Brahmapuram Diesel Power Plant,Kerala State Electricity Board Limited,plant,,industrial,,diesel,,,Q28172473,,101.85,54.5,no_evidence,compatible,polygon,74,17,False,confirmed,False,
FAC_WRI_0054         ,BSES Kerala CCGT                                                      ,thermal_power_plant  ,gas                                                                                   ,NA                                                                                                                 ,Kerala           ,Paravur                      ,314628123,way,Polygon,BSES Kochi Kerala Power Ltd,Reliance Infra,plant,,industrial,,oil,,,Q19377601,,75.1,81.5,no_evidence,compatible,polygon,108,15,False,confirmed,False,
FAC_WRI_0066         ,CORE GREEN SUGAR                                                      ,thermal_power_plant  ,biomass                                                                               ,Core Fuels ltd                                                                                                     ,Karnataka        ,Wadagera taluku              ,1244090961,way,Polygon,Core Green Sugars,,substation,,,,,,,,,286.47,97.0,no_evidence,incompatible,polygon,76,1,False,confirmed,False,
FAC_WRI_0072         ,DANAPUR BMM                                                           ,thermal_power_plant  ,coal                                                                                  ,Bmm Pvt ltd                                                                                                        ,Karnataka        ,Hosapete taluk               ,251260610,way,Polygon,BMM,,substation,,,,,,,,,155.25,100.0,no_evidence,incompatible,polygon,86,8,False,confirmed,False,
FAC_WRI_0072         ,DANAPUR BMM                                                           ,thermal_power_plant  ,coal                                                                                  ,Bmm Pvt ltd                                                                                                        ,Karnataka        ,Hosapete taluk               ,1186902443,way,Polygon,Danapuram BMM Captive Power Plant 1,,plant,,industrial,,coal,,,,,39.34,47.8,no_evidence,compatible,polygon,76,8,False,confirmed,False,
