canonical_facility_id,facility_name,facility_type,facility_subtype,operator,state,district,osm_feature_id,osm_element_type,osm_geometry_type,osm_name,osm_operator,osm_power,osm_industrial,osm_landuse,osm_man_made,osm_plant_source,osm_generator_source,osm_ref,osm_wikidata,osm_website,distance_m,name_score,operator_evidence,type_compatibility,geometry_value,evidence_score,competing_candidates_count,osm_shared_flag,osm_match_status,review_required,review_notes
FAC_IND_REF_011      ,Visakhapatnam Refinery                                                ,refinery             ,NA                                                                                    ,Hindustan Petroleum Corporation Limited (HPCL)                                                                     ,Andhra Pradesh   ,Visakhapatnam                ,976874611,way,Polygon,,,substation,,,,,,,,,859.46,,no_evidence,incompatible,polygon,16,2,False,rejected,False,
FAC_IND_REF_011      ,Visakhapatnam Refinery                                                ,refinery             ,NA                                                                                    ,Hindustan Petroleum Corporation Limited (HPCL)                                                                     ,Andhra Pradesh   ,Visakhapatnam                ,976874610,way,Polygon,Sub Station No.6,,substation,,,,,,,,,840.14,31.6,no_evidence,incompatible,polygon,16,2,False,rejected,False,
FAC_IND_REF_013      ,Kochi Refinery                                                        ,refinery             ,NA                                                                                    ,Bharat Petroleum Corporation Limited (BPCL)                                                                        ,Kerala           ,Ernakulam                    ,,,,,,,,,,,,,,,,,no_evidence,no_candidate,no_candidate,0,0,False,no_candidate,False,
FAC_IND_REF_015      ,Manali Refinery                                                       ,refinery             ,NA                                                                                    ,Chennai Petroleum Corporation Limited (CPCL)                                                                       ,Tamil Nadu       ,Chennai                      ,29246211,way,Polygon,,,,,industrial,,,,,,,306.06,,no_evidence,incompatible,polygon,36,5,False,rejected,False,
FAC_IND_REF_015      ,Manali Refinery                                                       ,refinery             ,NA                                                                                    ,Chennai Petroleum Corporation Limited (CPCL)                                                                       ,Tamil Nadu       ,Chennai                      ,29245914,way,Polygon,Manali Fertilizers Limited - MFL,,,,industrial,,,,,,,856.38,57.1,no_evidence,incompatible,polygon,24,5,False,possible,True,
FAC_IND_REF_015      ,Manali Refinery                                                       ,refinery             ,NA                                                                                    ,Chennai Petroleum Corporation Limited (CPCL)                                                                       ,Tamil Nadu       ,Chennai                      ,245697676,way,Polygon,,,substation,,,,,,,,,865.15,,no_evidence,incompatible,polygon,16,5,False,rejected,False,
FAC_IND_REF_015      ,Manali Refinery                                                       ,refinery             ,NA                                                                                    ,Chennai Petroleum Corporation Limited (CPCL)                                                                       ,Tamil Nadu       ,Chennai                      ,102663615,way,Polygon,,,,,industrial,,,,,,,722.31,,no_evidence,incompatible,polygon,26,5,False,rejected,False,
FAC_IND_REF_015      ,Manali Refinery                                                       ,refinery             ,NA                                                                                    ,Chennai Petroleum Corporation Limited (CPCL)                                                                       ,Tamil Nadu       ,Chennai                      ,245697677,way,Polygon,,,substation,,,,,,,,,918.93,,no_evidence,incompatible,polygon,16,5,False,rejected,False,
FAC_IND_REF_017      ,Tatipaka Refinery                                                     ,refinery             ,NA                                                                                    ,Oil and Natural Gas Corporation (ONGC)                                                                             ,Andhra Pradesh   ,East Godavari                ,,,,,,,,,,,,,,,,,no_evidence,no_candidate,no_candidate,0,0,False,no_candidate,False,
FAC_IND_REF_018      ,Mangalore Refinery                                                    ,refinery             ,NA                                                                                    ,Mangalore Refinery and Petrochemicals Limited (MRPL)                                                               ,Karnataka        ,Dakshina Kannada             ,322247999,way,Polygon,Yenepoya Wood Industries,,,,industrial,,,,,,,675.78,38.1,no_evidence,incompatible,polygon,26,1,True,possible,True,SHARED OSM FEATURE — review carefully
FAC_IND_STEEL_006    ,Salem Steel Plant                                                     ,steel_plant          ,special_steel                                                                         ,Steel Authority of India Limited (SAIL)                                                                            ,Tamil Nadu       ,Salem                        ,,,,,,,,,,,,,,,,,no_evidence,no_candidate,no_candidate,0,0,False,no_candidate,False,
FAC_IND_STEEL_007    ,Bhadravathi Steel Plant (Visvesvaraya Iron & Steel)                   ,steel_plant          ,special_steel                                                                         ,Steel Authority of India Limited (SAIL)                                                                            ,Karnataka        ,Bhadra                       ,,,,,,,,,,,,,,,,,no_evidence,no_candidate,no_candidate,0,0,False,no_candidate,False,
FAC_IND_STEEL_009    ,Visakhapatnam Steel Plant (RINL)                                      ,steel_plant          ,integrated                                                                            ,Rashtriya Ispat Nigam Limited (RINL)                                                                               ,Andhra Pradesh   ,Visakhapatnam                ,,,,,,,,,,,,,,,,,no_evidence,no_candidate,no_candidate,0,0,False,no_candidate,False,
